entity_text,keywords
harmful effects on the environment,"harmful effects, environment"
harmful effects on humans,"harmful effects, humans"
lowering diesel emissions,diesel emissions
controlling the levels of diesel particulate material,"diesel particulate material, levels"
toxic air contaminant,toxic air contaminant
increase in back pressure of the filter,"back pressure, filter"
clogging of the pores by soot,"clogging, pores, soot"
high porosity cordierite composition,"porosity, cordierite composition"
ceramic articles,ceramic articles
ceramic filter applications,"ceramic filter, applications"
porous ceramic body,porous ceramic body
ceramic honeycomb body,ceramic honeycomb body
method of making a porous ceramic article,"porous ceramic article, method"
diesel engine manufacturers,diesel engine manufacturers
emission-control companies,emission-control companies
defects in a honeycomb body,"defects, honeycomb body"
"manufacturing defects such as holes, cracks, or fissures","manufacturing defects, holes, cracks, fissures"
filtration efficiency or integrity of a honeycomb filter,"filtration efficiency, integrity, honeycomb filter"
method and apparatus for detecting defects in a honeycomb particulate filter,"method, apparatus, defects, honeycomb particulate filter"
system for detecting defects in a honeycomb body,"system, defects, honeycomb body"
particulate fluid source,particulate fluid source
flow straightener,flow straightener
honeycomb filters,honeycomb filters
diesel particulate filtration,diesel particulate filtration
diesel emissions,diesel emissions
possibly harmful effects,harmful effects
stricter environmental regulations,environmental regulations
lowering diesel emissions,diesel emissions
diesel particulate material,diesel particulate material
carbon soot,carbon soot
gradual rise in the back pressure,back pressure
compromise the survivability of the filter,"survivability, filter"
ceramic honeycomb articles,ceramic honeycomb articles
cordierite ceramic filters,cordierite ceramic filters
diesel particulate filter,diesel particulate filter
methods for manufacturing,"methods, manufacturing"
diesel engine manufacturers,diesel engine manufacturers
emission-control companies,emission-control companies
consumer,consumer
persistent problem in the art of petroleum refining,"persistent problem, art, petroleum refining"
to reach acceptably low levels of sulfur content,sulfur content
removal of sulfur is critical,"removal, sulfur"
government agencies are currently formulating new regulations,"government agencies, regulations"
sulfur content in fuels to be substantially lower than current practice,"sulfur content, fuels, current practice"
known hydrodesulfurization methods do not provide acceptable levels of sulfur removal,"hydrodesulfurization methods, sulfur removal"
countercurrent processes typically experience difficulty in reactor flooding,"countercurrent processes, reactor flooding"
temperature is detrimental to hydrodesulfurization and other catalysts,"temperature, hydrodesulfurization, catalysts"
process for hydroprocessing a hydrocarbon feedstock,"process, hydroprocessing, hydrocarbon feedstock"
process whereby sulfur content is advantageously reduced to less than or equal to about 10 wppm,"sulfur content, wppm"
process which can be carried out without substantially increasing the equipment size,"process, equipment size"
hydrodesulfurization system which accomplishes the aforesaid objectives,"hydrodesulfurization system, objectives"
simple processing scheme that improves sulfur removal,"processing scheme, sulfur removal"
government agencies,government agencies
hydrocarbon feedstocks,hydrocarbon feedstocks
diesel,diesel
gasoil,gasoil
naphtha,naphtha
nox emissions from vehicles with internal combustion engines,"nox emissions, vehicles, internal combustion engines"
environmental problem,environmental problem
regulations pending that will limit nox emissions,"regulations, nox emissions"
nox production,nox production
engine efficiency decrease,engine efficiency
smoke in the exhaust,"smoke, exhaust"
trade-off between nox production and particulate matter production,"trade-off, nox production, particulate matter production"
not proven commercially,[]
peak nox conversion efficiency with lean-burn catalysts is unacceptably low,"peak nox conversion efficiency, lean-burn catalysts"
lack of infrastructure for distributing ammonia,"infrastructure, ammonia"
possible release of ammonia into the environment,"ammonia, environment, release"
"long felt need for environmentally friendly, efficient, and reliable power generation systems for vehicles","power generation systems, vehicles"
clean power generation system,clean power generation system
fuel cell,fuel cell
exhaust gas recirculation (egr),"exhaust gas recirculation, egr"
lean-burn nox catalysts,"lean-burn, nox catalysts"
nox adsorber-catalysts,nox adsorber-catalysts
selective catalytic reduction (scr),"selective catalytic reduction, scr"
fuel reformers,fuel reformers
hybrid power generation system,hybrid power generation system
power generation system in which an internal combustion engine is operated to produce shaft power and an exhaust stream,"power generation system, internal combustion engine, shaft power, exhaust stream"
vehicles,vehicles
nox emissions from vehicles with internal combustion engines,"nox emissions, vehicles, internal combustion engines"
environmental problem,environmental problem
regulations pending that will limit nox emissions,"regulations, nox emissions"
exhaust is too oxygen-rich for three-way catalysts to be effective,"exhaust, oxygen, three-way catalysts"
reduction of nox in an oxidizing atmosphere is difficult,"reduction, nox, oxidizing atmosphere"
"challenging to find a lean-burn nox catalyst that has the required activity, durability, and operating temperature range","lean-burn nox catalyst, activity, durability, operating temperature range"
lean-burn nox catalysts tend to be hydrothermally unstable,"lean-burn nox catalysts, hydrothermal instability"
noticeable loss of activity occurs after relatively little use,"loss, activity, use"
fuel economy penalty of 3% or more,fuel economy penalty
peak nox conversion efficiency with lean-burn catalysts is unacceptably low,"peak nox conversion efficiency, lean-burn catalysts"
concern over the lack of infrastructure for distributing ammonia or a suitable precursor,"infrastructure, ammonia, precursor"
concerns relating to the possible release of ammonia into the environment,"ammonia, environment, concerns, release"
exhaust treatment system having an scr reactor downstream of a nox adsorber,"exhaust treatment system, scr reactor, nox adsorber"
syn gas from a fuel reformer is used to regenerate the nox adsorber,"syn gas, fuel reformer, nox adsorber"
exhaust treatment system having an scr reactor downstream of an lnt and an ammonia source separate from the lnt,"exhaust treatment system, scr reactor, lnt, ammonia source"
exhaust system comprising first and second lnts and one or more scrs downstream of the lnts,"exhaust system, first lnts, second lnts, scrs"
device comprising first and second nox adsorbers contained in a single housing,"device, nox adsorbers, housing"
coating a moving part in an exhaust system with an oxidation catalyst to mitigate fouling,"coating, moving part, exhaust system, oxidation catalyst, fouling"
internal combustion engines,internal combustion engines
diesel engines,diesel engines
lean burn gasoline engines,"lean burn, gasoline engines"
manufacturers,manufacturers
researchers,researchers
countries,countries
united states,united states
nox emissions,nox emissions
increased combustion temperatures,combustion temperatures
require additional hardware and control schemes,"hardware, control schemes"
effectiveness of this method decreases significantly at an exhaust temperature below 400Â° c,"effectiveness, method, exhaust temperature"
"infrastructure-related problems associated with storage, transport, and handling of ammonia","infrastructure-related problems, storage, transport, handling, ammonia"
un-reacted ammonia may pass through the scr and be exhausted into the atmosphere,"un-reacted ammonia, scr, atmosphere"
requires replenishing urea on-board the vehicle,"urea, vehicle"
freezing point of the urea solution is ??2Â° c,"freezing point, urea solution"
require a large catalyst volume and a substantial mass of expensive platinum-group metals,"catalyst volume, platinum-group metals, mass"
periodic intrusive operation of the engine to regenerate the catalyst,"periodic intrusive operation, engine, catalyst"
hydrocarbons present in diesel and gasoline engine exhaust require high temperatures for adequate nox conversion,"hydrocarbons, diesel engine exhaust, gasoline engine exhaust, nox conversion, high temperatures"
"diesel fuel as well as long, straight-chain hydrocarbons are only adequate above a catalyst temperature of about 300Â° c","diesel fuel, long straight-chain hydrocarbons, catalyst temperature"
these species are not readily available in engine exhaust streams,"species, engine exhaust streams"
supplemental heating of the exhaust may not be suitable for practical engine exhaust systems on a vehicle,"supplemental heating, exhaust, engine exhaust systems, vehicle"
any aldehydes produced in engine in-cylinder burning are oxidized in the oxidation catalyst,"aldehydes, engine, in-cylinder burning, oxidation catalyst"
method and apparatus for exhaust gas purifying,"method, apparatus, exhaust gas, purifying"
hydrocarbon-selective catalytic reduction device,hydrocarbon-selective catalytic reduction device
injector device adapted to inject a blend of fuel and an ignition improver,"injector device, blend, fuel, ignition improver"
control module adapted to control the injector device,"control module, injector device"
internal combustion engines,internal combustion engines
clogging of the filter,"clogging, filter"
increase in the back pressure at the exhaust,"back pressure, exhaust"
increasing fuel consumption of the engine,"fuel consumption, engine"
total filter clogging,filter clogging
serious engine dysfunctioning,engine dysfunctioning
complete engine failure,engine failure
destruction of the filter,"destruction, filter"
major drawback of increasing the fuel consumption,fuel consumption
costly additives,costly additives
significantly increases the fuel consumption of the engine,"fuel consumption, engine"
method for regenerating a particle filter,"method, particle filter"
catalytic combustion,catalytic combustion
raising the temperature of the fluid,"temperature, fluid"
heating said fluid by means of a heating resistor,"heating, fluid, heating resistor"
circulating exhaust gases around a catalytic element,"circulating exhaust gases, catalytic element"
adding an additive to the fuel,"additive, fuel"
internal-combustion engine,internal-combustion engine
gaseous contaminants,gaseous contaminants
limitations found in the prior art,"limitations, prior art"
time-consuming and expensive limitation,limitation
gas bypass and breakthrough,"gas bypass, breakthrough"
lower activity levels of impregnated media,"activity levels, impregnated media"
onsite chemistry air filtration system,"onsite chemistry, air filtration system"
conventional particulate filtration section,particulate filtration section
photochemical filtration section,photochemical filtration section
static gas phase filtration section,gas phase filtration section
catalytic filtration section,catalytic filtration section
dynamic onsite chemistry generation,dynamic onsite chemistry generation
residential buildings,residential buildings
low rise buildings,low rise buildings
commercial offices,commercial offices
places of business,places of business
high rise buildings,high rise buildings
casinos,casinos
ships,ships
military,military
secure buildings,secure buildings
airports,airports
mass transit vehicles,mass transit vehicles
automobiles,automobiles
mining equipment,mining equipment
"pollution from new, heavy-duty diesel trucks and buses","pollution, heavy-duty diesel trucks, buses"
tougher emission standards,emission standards
unburned soot particles,unburned soot particles
harmful pollutants,harmful pollutants
minimum operating temperature value,"minimum operating temperature, value"
maximum conversion,maximum conversion
rapid diesel oxidation catalyst heating system,"diesel oxidation catalyst, heating system"
methods and systems for rapidly achieving an effective operating temperature,"methods, systems, operating temperature"
heavy-duty vehicles,heavy-duty vehicles
internal combustion engine,internal combustion engine
particulate matter,particulate matter
pollution,pollution
social problem,social problem
large draft loss,draft loss
clogging,clogging
decreased life of the filter,"life, filter"
generation of yellow smokes,"generation, yellow smokes"
secondary pollution,secondary pollution
particulate matter-containing exhaust emission controlling filter,"particulate matter, exhaust emission, controlling filter"
exhaust emission controlling method,"exhaust emission, controlling method"
exhaust emission controlling device,"exhaust emission, controlling device"
particulate matter removing filter,"particulate matter, filter"
exhaust gas purifying method,"exhaust gas, purifying method"
exhaust gas purifying device,"exhaust gas, purifying device"
diesel engine,diesel engine
various industries,various industries
diesel engine makers,diesel engine makers
car makers,car makers
nitrogen oxide emissions,nitrogen oxide emissions
deleterious effects of air pollution,"deleterious effects, air pollution"
harmful byproducts,harmful byproducts
nitrogen oxides,nitrogen oxides
ground-level ozone,ground-level ozone
asthma,asthma
respiratory ailments,respiratory ailments
soot formation,soot formation
serious health effects,health effects
acid rain,acid rain
deterioration of coastal estuaries,"coastal estuaries, deterioration"
low activity of existing catalyst systems,"activity, catalyst systems"
narrow region of working temperatures,"working temperatures, narrow region"
low stability to water,"stability, water"
poor selectivity towards n2,"selectivity, n2"
catalyst system for the reduction of nox,"catalyst system, reduction, NOx"
multi-component catalyst,multi-component catalyst
selective catalytic reduction (scr),"selective catalytic reduction, scr"
catalyst in a first zone,"catalyst, first zone"
catalyst in a second zone,"catalyst, second zone"
gas stream comprising an organic reductant,"gas stream, organic reductant"
regulatory agencies,regulatory agencies
environment,environment
removing nitrogen oxides (nox) present in exhaust gases,"nitrogen oxides, nox, exhaust gases"
cold to hot nitrogen oxides can be efficiently reduced,nitrogen oxides
low concentration of nitrogen oxides,"nitrogen oxides, concentration"
temperature of exhaust gas needs to be raised to 300Â° c. or above,"temperature, exhaust gas"
overall equipment becomes complicated,equipment
increase in equipment cost,equipment cost
workability for replacement of the catalyst bed is reduced,"workability, replacement, catalyst bed"
additional heater is required,additional heater
marked increase in removal cost,removal cost
environmental problems to improve the efficiency of removal of nitrogen oxides,"environmental problems, efficiency, removal, nitrogen oxides"
denitration technique,denitration technique
heat-treated active carbon,heat-treated active carbon
process for producing an active carbon for use in the denitration of exhaust gas,"active carbon, denitration, exhaust gas"
denitration method,denitration method
first denitration system using active carbon,"denitration system, active carbon"
second denitration system using active carbon,"denitration system, active carbon"
exhaust gases from boilers,"exhaust gases, boilers"
exhaust gases from road tunnels,"exhaust gases, road tunnels"
nitric acid production plants,nitric acid production plants
gases containing nitrogen oxides,"gases, nitrogen oxides"
sulfur dioxide,sulfur dioxide
hydrogen cyanide,hydrogen cyanide
hydrogen sulfide,hydrogen sulfide
toxicity and smell of sulphur compounds,"toxicity, smell, sulphur compounds"
catalyst poisoning,catalyst poisoning
clogging due to the solidification of sulphur,"clogging, solidification, sulphur"
corrosion due to the formation of sulfuric acid,"corrosion, sulfuric acid"
high concentration of h2s in the treated gas,"high concentration, h2s, treated gas"
corrosive nox compounds,corrosive nox compounds
"process for the removal of so2, hcn and h2s","removal process, so2, hcn, h2s"
hydrogenation step,hydrogenation step
hydrolysis step,hydrolysis step
ammonia removal step,ammonia removal step
hydrogen sulfide removal step,"hydrogen sulfide removal, removal step"
aqueous alkaline washing liquid,aqueous alkaline washing liquid
oxidation bioreactor,oxidation bioreactor
sulfide oxidizing bacteria,sulfide oxidizing bacteria
gas streams from industrial chemical processes,"gas streams, industrial chemical processes"
filtration of particles,"filtration, particles"
soot produced by the combustion of a diesel fuel,"soot, combustion, diesel fuel"
micro-cracks,micro-cracks
severe loss of the filtration capabilities,"loss, filtration capabilities"
weight increase of the filters,"weight increase, filters"
increased thermal inertia of the filter,"thermal inertia, filter"
excess consumption during the regeneration phases,"excess consumption, regeneration phases"
monolithic honeycomb element,monolithic honeycomb element
increased thickness at the corners,"thickness, corners"
periodic undulation of the walls of the inner channels,"periodic undulation, walls, inner channels"
assembly of a plurality of monolithic elements,"assembly, plurality, monolithic elements"
joint cement,joint cement
internal combustion engine,internal combustion engine
motor vehicle exhaust lines,"motor vehicle, exhaust lines"
presence of particulate matter,particulate matter
serious hazard with respect to the environment,"serious hazard, environment"
personal health and safety of individuals exposed to it,"personal health, safety, individuals"
dust,dust
large quantities of water may be needed,"large quantities, water"
decrease of its specific heating value,heating value
water loses its effectiveness upon evaporation,"water, effectiveness, evaporation"
not immediately effective,[]
excessive aromatic or other materials,"aromatic materials, other materials"
dust suppressant composition,dust suppressant composition
"aqueous solution of polyvinyl alcohol, acrylic-based latex, glycerin, silicone based surfactant and a polysiloxane-based wetting agent","aqueous solution, polyvinyl alcohol, acrylic-based latex, glycerin, silicone based surfactant, polysiloxane-based wetting agent"
polymer film over the dusting material,"polymer film, dusting material"
low surface tension resulting in better wetting of the particulates and agglomeration of the material,"surface tension, wetting, particulates, agglomeration, material"
individuals,individuals
environment,environment
hazards of nitrogen oxides,"hazards, nitrogen oxides"
formation of acid rain,acid rain
formation of tropospheric ozone,"tropospheric ozone, formation"
strict standards limiting the discharges of these chemical species,"strict standards, discharges, chemical species"
increased levels of sulfur trioxide,"sulfur trioxide, levels"
fouling of downstream equipment,"fouling, downstream equipment"
visible plume at the exhaust stack,"visible plume, exhaust stack"
increase particulate matter emissions,particulate matter emissions
heterogeneous distribution of nh3/nox,"heterogeneous distribution, NH3, NOx"
difficult to attain a consistent molar ratio of nh3/nox,"molar ratio, nh3, nox"
undesirable ammonia slip,ammonia slip
undesirable oxidation of sulfur dioxide,"oxidation, sulfur dioxide"
"compositions, systems, and methods for achieving high efficiencies of nitrogen oxide removal","compositions, systems, methods, nitrogen oxide removal, efficiencies"
removing nitrogen oxides from exhaust gases,"nitrogen oxides, exhaust gases"
denitrification or selective catalytic reduction (scr) technology,"denitrification, selective catalytic reduction, scr technology"
catalyst responsible for conducting the reduction of nitrogen oxides,"catalyst, reduction, nitrogen oxides"
ammonia decomposition catalyst layer,"ammonia decomposition, catalyst layer"
nitrogen oxide reduction catalyst layer,"nitrogen oxide, reduction catalyst layer"
monolithic structural catalyst body,monolithic structural catalyst body
catalytically active metal functional group comprising ruthenium,"catalytically active metal, functional group, ruthenium"
systems for removing nitrogen oxides from an exhaust gas,"systems, nitrogen oxides, exhaust gas"
stationary combustion sources,stationary combustion sources
mobile combustion sources,mobile combustion sources
ever-increasing amounts of combustion by-products being emitted,combustion by-products
need to reduce emission levels,emission levels
"levels of oxides of nitrogen (nox), hydrocarbons (hc), carbon monoxide (co), and smoke must be reduced drastically","oxides of nitrogen, hydrocarbons, carbon monoxide, smoke"
higher levels of nox and particulate emissions,"nox, particulate emissions"
successful implementation of nox adsorber technology has proven difficult,"nox adsorber technology, implementation"
nox adsorbers must have very high loadings of expensive noble metals,"nox adsorbers, loadings, noble metals"
effectiveness of nox adsorber technology in very low temperature conditions is questionable,"nox adsorber technology, temperature conditions"
catalyst of a nox adsorber is poisoned by sulfur,"catalyst, nox adsorber, sulfur"
high mechanical loading of engine parts due to a higher peak cylinder pressure,"mechanical loading, engine parts, peak cylinder pressure"
engine components having commonly used material compositions may not be able to withstand these higher pressures,"engine components, material compositions, higher pressures"
method of operating an internal combustion engine,"internal combustion engine, method of operating"
switching operation of the engine to a second combustion mode,"switching operation, engine, combustion mode"
directing an exhaust stream of the engine into contact with a nox adsorber,"exhaust stream, engine, nox adsorber"
homogeneous charge compression ignition (hcci) combustion,"homogeneous charge compression ignition, combustion"
internal combustion engine,internal combustion engine
transportation infrastructure,transportation infrastructure
society,society
governments around the world,"governments, world"
sulfur poisoning of the nitrogen oxide store,"sulfur poisoning, nitrogen oxide store"
nitrogen oxides,nitrogen oxides
high exhaust gas temperatures,exhaust gas temperatures
hydrocarbon emissions,hydrocarbon emissions
carbon monoxide emissions,carbon monoxide emissions
method for operating an exhaust-gas cleaning unit,"exhaust-gas cleaning unit, operating method"
combined soot and sulfur regeneration phase,"soot, sulfur regeneration phase"
oxidation catalytic converter,"oxidation, catalytic converter"
lambda probe,lambda probe
diesel engines,diesel engines
motor vehicles,motor vehicles
nox reduction,nox reduction
low temperature operation,low temperature operation
deactivation of the noble metal catalyst,"deactivation, noble metal catalyst"
sulfur-poisoning,sulfur poisoning
insufficient nox reduction effect,nox reduction effect
nox purifying catalyst,"nox, purifying catalyst"
first catalytic layer,catalytic layer
second catalytic layer,catalytic layer
rich/lean control of the air-fuel ratio,"rich/lean control, air-fuel ratio"
Î²-zeolite having iron and/or cerium elements,"β-zeolite, iron, cerium elements"
noble metal and cerium oxide-based material,"noble metal, cerium oxide-based material"
automobiles,automobiles
internal combustion engine,internal combustion engine
nox-containing exhaust gases,nox-containing exhaust gases
tightening of exhaust gas limit values,"exhaust gas, limit values"
after-treatment of the exhaust gas is absolutely necessary for removing nitrogen oxides,"after-treatment, exhaust gas, nitrogen oxides"
quality differences,quality differences
complicated filtration and/or purification processes,"filtration, purification processes"
poor short- and long-term activities in the reduction of nox-containing offgases,"short-term activities, long-term activities, reduction, nox-containing offgases"
risk of poisoning of the nox sorbents by the sulphur oxides,"risk, poisoning, nox sorbents, sulphur oxides"
complicated engine management strategies,engine management strategies
toxicological concerns,toxicological concerns
high offgas temperatures,offgas temperatures
effectiveness of the catalyst,"effectiveness, catalyst"
process for producing an scr catalyst,"process, scr catalyst"
catalyst for use in a selective reduction of nox,"catalyst, selective reduction, nox"
process for the selective reduction of nox,"selective reduction, nox"
applying an iron salt solution to a support layer,"iron salt solution, support layer"
using the reducing agent ammonia,"reducing agent, ammonia"
producing reproducible catalysts having constant good properties,"reproducible catalysts, properties"
calcined in air,[]
applying an amount of iron oxide to the support layer,"iron oxide, support layer"
"comprises a substrate body, a support layer, an active layer","substrate body, support layer, active layer"
"promoters tungsten, zirconium and/or molybdenum","promoters, tungsten, zirconium, molybdenum"
internal combustion engines,internal combustion engines
motor vehicles equipped with diesel engines,"motor vehicles, diesel engines"
nox sorbents,nox sorbents
particulate matter,particulate matter
harmful effects on the environment,"harmful effects, environment"
harmful effects on human being,"harmful effects, human being"
honeycomb filter,honeycomb filter
honeycomb fired bodies,"honeycomb, fired bodies"
adhesive material,adhesive material
internal combustion engines,internal combustion engines
vehicles,vehicles
buses,buses
trucks,trucks
construction machines,construction machines
nitrogen oxides,nitrogen oxides
harmful nitrogen oxides,nitrogen oxides
deterioration of catalyst,"deterioration, catalyst"
presence of sulfur oxides,sulfur oxides
environmental pollution,environmental pollution
deterioration in catalytic activity at low temperatures,"catalytic activity, low temperatures"
low decomposition activity for nox,"decomposition activity, nox"
low conversion rate of nitrogen oxides to nitrogen,"conversion rate, nitrogen oxides, nitrogen"
deterioration of nox storage-reduction system,"nox storage-reduction system, deterioration"
method for catalytic reduction of nitrogen oxides,"catalytic reduction, nitrogen oxides, method"
catalytic reactor,catalytic reactor
nox storage-reduction system,nox storage-reduction system
catalyst with high sox durability,"catalyst, sox durability"
automobiles,automobiles
vehicles with lean burn engines,"vehicles, lean burn engines"
emission of pollutants,"emission, pollutants"
blocking of the filter,"blocking, filter"
increase in flow resistance,flow resistance
reduction in engine performance,engine performance
high energy demand of a purely thermal regeneration,"energy demand, thermal regeneration"
exhaust gas temperatures in excess of 355Â° c.,exhaust gas temperatures
limited extent for the practical use in vehicles,"practical use, vehicles"
particulate filter comprising a finely dispersed catalyst,"particulate filter, finely dispersed catalyst"
method for producing the particulate filter,"method, particulate filter"
self-cleaning of self-regenerating particle filters,"self-cleaning, self-regenerating particle filters"
depth filter,depth filter
electric heater,electric heater
diesel engines,diesel engines
vehicles,vehicles
nox emissions from diesel engines,"nox emissions, diesel engines"
environmental problem,environmental problem
regulations pending that will limit nox emissions,"regulations, nox emissions"
exhaust is generally too oxygen-rich for three-way catalysts to be effective,"exhaust, oxygen, three-way catalysts"
peak nox conversion efficiencies for lean-burn catalysts are unacceptably low,"peak nox conversion efficiencies, lean-burn catalysts"
lack of infrastructure for distributing ammonia or a suitable precursor,"infrastructure, ammonia, precursor"
possible release of ammonia into the environment,"ammonia, environment, release"
accumulating sox,sox
significant amount of sox produced by combustion,"sox, combustion"
desulfation requires elevated temperatures as well as a reducing atmosphere,"desulfation, elevated temperatures, reducing atmosphere"
long felt need for an affordable and reliable exhaust treatment system,exhaust treatment system
desulfation methods for an exhaust treatment system,"desulfation methods, exhaust treatment system"
control strategy that applies to the above-described system,"control strategy, system"
methods of desulfating a lnt,"methods, desulfating, lnt"
reducing environment for lnt regeneration,"reducing environment, lnt regeneration"
diesel engines,diesel engines
lean burn gasoline engines,"lean burn, gasoline engines"
manufacturers,manufacturers
researchers,researchers
u.s. environmental protection agency (epa),"u.s. environmental protection agency, epa"
vehicles,vehicles
exhaust emission standards,exhaust emission standards
particulate matter,particulate matter
reduced functionality of the filter,"reduced functionality, filter"
insufficient temperature of the exhaust,"temperature, exhaust"
costly and problematic system,costly system
wasted additive,wasted additive
excessive amounts of ash,"excessive amounts, ash"
reduced maintenance interval,maintenance interval
exhaust treatment system,exhaust treatment system
supply of catalyst,"supply, catalyst"
injector operable to selectively pass catalyst,"injector, catalyst"
controller configured to determine a temperature,"controller, temperature"
method of treating exhaust,"method, treating, exhaust"
internal combustion engines,internal combustion engines
vehicle owner,vehicle owner
sulfur poisoning of nox occlusion reduction type catalyst,"sulfur poisoning, nox occlusion, reduction type catalyst"
evenness of temperature in the catalyst,"evenness, temperature, catalyst"
generation of hydrogen sulfide,"generation, hydrogen sulfide"
extreme thermal deterioration of catalyst,"thermal deterioration, catalyst"
high costs and catalyst deterioration,"high costs, catalyst deterioration"
sulfur purge control method,sulfur purge control method
air fuel ratio control for sulfur purge,"air fuel ratio control, sulfur purge"
nox occlusion reduction type catalyst,"nox occlusion, reduction type catalyst"
oxidation catalyst,oxidation catalyst
nox occlusion reduction type catalyst,"nox occlusion, reduction type, catalyst"
exhaust gas purification system,exhaust gas purification system
internal combustion engine,internal combustion engine
low thermal shock,thermal shock
crack is easily generated in the filter,"crack, filter"
fine particles trapped in the filter are not completely burnt,"fine particles, filter"
poor efficiency in treating the exhaust gas,"efficiency, exhaust gas"
temperature difference in the ceramic structure,"temperature difference, ceramic structure"
temperature in the vicinity of the coating material of the outer segment does not easily rise,"temperature, coating material, outer segment"
soot of the corresponding portion is not easily completely burnt,"soot, portion"
strength of the coating material lowers,"strength, coating material"
coating material is cracked,coating material
honeycomb structure,honeycomb structure
integration of a plurality of porous honeycomb segments,"integration, plurality, porous honeycomb segments"
bonding these outer walls to one another with a bonding material,"outer walls, bonding material"
decrease a temperature difference between the center of an outer segment and the vicinity of a coating material,"temperature difference, center, outer segment, vicinity, coating material"
internal combustion engine,internal combustion engine
boiler,boiler
chemical reaction device,chemical reaction device
reformer for a fuel cell,"reformer, fuel cell"
trap filter of fine particles in an exhaust gas,"trap filter, fine particles, exhaust gas"
diesel engine,diesel engine
complex mixture of emissions,"complex mixture, emissions"
gaseous compounds,gaseous compounds
particulate matter exhausted to the environment,"particulate matter, environment"
harmful nox,nox
nox gas exhausted to the environment,"nox gas, environment"
exhaust emission control system,exhaust emission control system
dual path flow for purifying exhaust gas discharge,"dual path flow, exhaust gas, discharge, purification"
valve arrangement configured to regulate the flow of exhaust,"valve arrangement, flow, exhaust"
at least one sensor configured to sense a parameter indicative of a constituent of the exhaust,"sensor, parameter, constituent, exhaust"
controller in communication with the valve and the at least one sensor,"controller, communication, valve, sensor"
internal combustion engine,internal combustion engine
engine manufacturers,engine manufacturers
